City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
1,Lake Saint Louis,US,85.95,38.7976,-90.7857,Regency Plaza Hotel
4,Hilo,US,85.28,19.7297,-155.09,Hilo Hawaiian Hotel
13,Vaini,TO,80.76,-21.2,-175.2,Keleti Beach Resort
16,Albany,US,77.45,42.6001,-73.9662,
17,Katsuura,JP,85.86,35.1333,140.3,Katsuura Hotel Mikazuki
18,Fukue,JP,82.76,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
24,Sao Filipe,CV,75.87,14.8961,-24.4956,Hotel Xaguate
25,Tabou,CI,75.11,4.423,-7.3528,hotêl doufoulougou
28,Bengkulu,ID,75.56,-3.8004,102.2655,Grage Hotel Bengkulu
34,Cayenne,GF,82.09,4.9333,-52.3333,Hôtel Le Dronmi
36,Avera,US,87.31,33.194,-82.5271,
40,Kapaa,US,87.78,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
41,Atuona,PF,76.89,-9.8,-139.0333,Villa Enata
42,Lukang,TW,86.41,24.0567,120.4352,二鹿行館 Lu Kang Bed and Breakbast
44,Gunjur,GM,75.27,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
51,Manacor,ES,81.32,39.5696,3.2096,Hotel Can Guixa
52,Duluth,US,75.07,46.7833,-92.1066,South Pier Inn
54,Kalmunai,LK,78.66,7.4167,81.8167,VS Villa
55,Ati,TD,81.64,13.2154,18.3353,
56,Korcula,HR,77.7,42.9622,17.1369,Marko Polo Hotel by Aminess
60,Avarua,CK,78.85,-21.2078,-159.775,Paradise Inn
62,Safaga,EG,86.67,26.7292,33.9365,Lamar Resort Abu Soma
64,Belaya Gora,RU,80.02,68.5333,146.4167,
65,Butaritari,KI,81.48,3.0707,172.7902,Isles Sunset Lodge
68,Korla,CN,78.3,41.7597,86.1469,Gulisitan Hotel
70,Mitsamiouli,KM,75.18,-11.3847,43.2844,Foyer ADM
71,Alamos,MX,88.79,27.0167,-108.9333,Luz del Sol
72,Kendari,ID,78.06,-3.945,122.4989,Hotel Wixel
81,Botou,CN,86.92,38.0667,116.5667,Hanting Hotel Huanghua City Hall
82,Ishinomaki,JP,84.2,38.4167,141.3,Ishinomaki Grand Hotel
86,Kavieng,PG,85.17,-2.5744,150.7967,Nusa Island Retreat
91,Lamin,GM,75.31,13.3522,-16.4339,Jerreh Camp Lodge
94,Isangel,VU,80.71,-19.55,169.2667,Tanna Lodge
96,Nishihara,JP,79.68,26.1842,127.7558,Minshuku Agaihama
97,Port Blair,IN,78.84,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
98,Meulaboh,ID,77.68,4.1363,96.1285,Kost Pria
102,Lethem,GY,75.83,3.3803,-59.7968,Savannah Inn
106,Hithadhoo,MV,80.73,-0.6,73.0833,Scoop Guest House
107,Les Cayes,HT,81.23,18.2,-73.75,Villa Orphee
109,Cockburn Town,TC,82.02,21.4612,-71.1419,Osprey Beach Hotel
115,Gorontalo,ID,82.8,0.5412,123.0595,Maqna Hotel by Prasanthi
119,Hamilton,US,76.75,39.1834,-84.5333,Six Acres Bed & Breakfast
126,Mapimi,MX,85.26,25.8167,-103.85,Propiedad Lldm
132,Jieshi,CN,85.46,22.8134,115.8257,Yuehai Hotel
134,Kaitong,CN,83.71,44.8135,123.15,Jinhe Fashion Hotel
136,Salinopolis,BR,78.15,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
138,Wanning,CN,85.8,18.8003,110.3967,Paradise Hotel
143,Bambanglipuro,ID,77.32,-7.95,110.2833,Puri Brata
144,Pacifica,US,77.97,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
150,Kahului,US,87.82,20.8947,-156.47,Maui Seaside Hotel
151,Komsomolskiy,UZ,77.72,40.4272,71.7189,Ikathouse
152,Cuddapah,IN,84.36,14.4667,78.8167,Swagath Residency A/C - OYO Rooms
154,Erenhot,CN,82.69,43.6475,111.9767,Erenhot Rurouni Youth Hostel
158,Pafos,CY,76.78,34.7667,32.4167,Elysium Hotel
160,Plymouth,US,78.22,41.8334,-70.8328,Rodeway Inn Middleboro-Plymouth
162,Cabo San Lucas,MX,86.31,22.8909,-109.9124,Hotel Tesoro Los Cabos
165,Georgetown,MY,80.89,5.4112,100.3354,Cititel Penang
166,Panguna,PG,83.48,-6.3164,155.4848,
171,Bethel,US,79.16,41.3712,-73.414,Courtyard by Marriott Danbury
172,Harper,LR,75.04,4.375,-7.7169,Screensaver
173,Oil City,US,76.24,41.4339,-79.7064,Days Inn by Wyndham Oil City Conference Center
176,Saint Anthony,US,84.13,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
179,Gurupa,BR,76.19,-1.405,-51.64,Hotel Vitória
181,Danville,US,79.18,36.586,-79.395,"Holiday Inn Express Danville, an IHG Hotel"
183,Dwarka,IN,80.55,22.2394,68.9678,Hotel Narayan Avezika Comfort
184,San Pedro,PH,83.35,14.35,121.0167,Palines Apartment and Guesthouse
185,Namatanai,PG,84.42,-3.6667,152.4333,Seagulls Inn Namatani
189,Darnah,LY,78.31,32.767,22.6367,فندق الفردوس
198,Linguere,SN,79.02,15.3953,-15.1193,AYO Casablanca
200,Mayor Pablo Lagerenza,PY,75.06,-19.9309,-60.7718,
201,Ishigaki,JP,77.13,24.3448,124.1572,Hotel Peace Land Ishigakijima
208,Cabedelo,BR,75.87,-6.9811,-34.8339,Pousada Camboinha
213,Iralaya,HN,80.17,15.0,-83.2333,Iglesia morava renovada
215,Djibo,BF,76.48,14.1022,-1.6306,Centre Des Ressources DPENA
