City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Port Alfred,-33.5906,26.891,52.57,73,15,10.71,ZA,2022-08-01 00:26:54
1,Lake Saint Louis,38.7976,-90.7857,85.95,71,20,4.61,US,2022-08-01 00:26:55
2,Clyde River,70.4692,-68.5914,35.83,100,100,4.61,CA,2022-08-01 00:26:55
3,Cape Town,-33.9258,18.4232,56.37,76,0,8.01,ZA,2022-08-01 00:25:26
4,Hilo,19.7297,-155.09,85.28,67,0,13.8,US,2022-08-01 00:26:55
5,Esperance,-33.8667,121.9,49.64,57,5,17.18,AU,2022-08-01 00:26:56
6,Lakes Entrance,-37.8811,147.981,57.16,56,60,12.39,AU,2022-08-01 00:26:56
7,Chapais,49.7834,-74.8492,65.98,68,98,4.09,CA,2022-08-01 00:26:49
8,Anaconda,46.1285,-112.9423,92.39,13,8,14.92,US,2022-08-01 00:26:56
9,Kamskiye Polyany,55.4307,51.4171,63.41,94,96,4.85,RU,2022-08-01 00:26:56
10,Haines Junction,60.7522,-137.5108,64.35,52,95,9.22,CA,2022-08-01 00:26:57
11,Chicama,-7.8447,-79.1469,59.54,81,24,6.71,PE,2022-08-01 00:26:57
12,Nagornskiy,58.7731,57.5451,62.78,97,96,3.18,RU,2022-08-01 00:26:58
13,Vaini,-21.2,-175.2,80.76,89,75,6.91,TO,2022-08-01 00:26:58
14,Grand Gaube,-20.0064,57.6608,70.38,73,6,5.99,MU,2022-08-01 00:25:29
15,Ushuaia,-54.8,-68.3,35.26,93,40,3.44,AR,2022-08-01 00:26:58
16,Albany,42.6001,-73.9662,77.45,65,99,3.6,US,2022-08-01 00:23:03
17,Katsuura,35.1333,140.3,85.86,73,79,6.35,JP,2022-08-01 00:25:48
18,Fukue,32.6881,128.8419,82.76,89,75,18.41,JP,2022-08-01 00:26:59
19,Hermanus,-34.4187,19.2345,48.51,73,2,6.38,ZA,2022-08-01 00:24:35
20,Koumra,8.9126,17.5539,71.69,96,100,2.01,TD,2022-08-01 00:26:59
21,Constitucion,-35.3333,-72.4167,49.12,90,66,4.81,CL,2022-08-01 00:26:59
22,Soyo,-6.1349,12.3689,69.08,93,1,9.26,AO,2022-08-01 00:27:00
23,East London,-33.0153,27.9116,54.25,63,4,7.96,ZA,2022-08-01 00:27:00
24,Sao Filipe,14.8961,-24.4956,75.87,75,38,6.08,CV,2022-08-01 00:27:00
25,Tabou,4.423,-7.3528,75.11,79,98,12.48,CI,2022-08-01 00:27:01
26,Tuatapere,-46.1333,167.6833,46.89,84,86,8.77,NZ,2022-08-01 00:25:38
27,Keetmanshoop,-26.5833,18.1333,48.87,31,3,10.96,NA,2022-08-01 00:27:01
28,Bengkulu,-3.8004,102.2655,75.56,86,79,4.09,ID,2022-08-01 00:27:01
29,Lebu,-37.6167,-73.65,46.83,83,95,4.79,CL,2022-08-01 00:27:02
30,Bluff,-46.6,168.3333,50.81,76,59,15.97,NZ,2022-08-01 00:27:02
31,Busselton,-33.65,115.3333,56.91,94,90,28.39,AU,2022-08-01 00:24:46
32,Ostrovnoy,68.0531,39.5131,54.43,83,89,5.53,RU,2022-08-01 00:24:36
33,Jackson,42.4165,-122.8345,94.87,38,0,11.5,US,2022-08-01 00:22:37
34,Cayenne,4.9333,-52.3333,82.09,1,64,0.0,GF,2022-08-01 00:27:02
